title,address,access,age,floor,fee,management_fee,deposit,gratuity,floor_plan,area
モヤ　パラチャ,東京都調布市深大寺南町５,"
京王線/つつじヶ丘駅 歩23分
京王線/国領駅 歩27分
ＪＲ中央線/三鷹駅 バス30分 (バス停)晃華学園前 歩3分
","
築10年
2階建
","
											2階",9.1万円,2800円,-,9.1万円,1LDK,44.39m2
ピエールシークル,東京都調布市国領町４,"
京王線/国領駅 歩8分
京王線/柴崎駅 歩14分
京王線/つつじヶ丘駅 歩24分
","
築30年
5階建
","
											3階",4.6万円,6000円,4.6万円,-,1K,19m2
ハッピーハウス,東京都調布市調布ケ丘３,"
京王相模原線/調布駅 歩13分
京王線/布田駅 歩19分
京王線/西調布駅 歩25分
","
築22年
2階建
","
											2階",6.6万円,2800円,-,-,1K,28.76m2
アーバンタカノ京王多摩川,東京都調布市多摩川５,"
京王相模原線/京王多摩川駅 歩4分
京王線/調布駅 歩15分
京王線/布田駅 歩23分
","
築34年
地下1地上7階建
","
											3階",3.8万円,3000円,3.8万円,-,1K,16.22m2
アーバンタカノ京王多摩川,東京都調布市多摩川５,"
京王相模原線/京王多摩川駅 歩4分
京王線/調布駅 歩15分
京王線/布田駅 歩23分
","
築34年
地下1地上7階建
","
											6階",4.2万円,3000円,4.2万円,-,1K,15.33m2
レインボーハイツ,東京都調布市布田２,"
京王線/布田駅 歩4分
京王線/調布駅 歩7分
京王線/国領駅 歩13分
","
築30年
2階建
","
											2階",5万円,2000円,-,-,ワンルーム,19.2m2
レインボーハイツ,東京都調布市布田２,"
京王線/布田駅 歩4分
京王線/調布駅 歩7分
京王線/国領駅 歩13分
","
築30年
2階建
","
											2階",5.3万円,2000円,-,-,ワンルーム,20.66m2
アルパインコートI,東京都調布市小島町２,"
京王線/調布駅 歩7分
京王相模原線/京王多摩川駅 歩12分
京王線/西調布駅 歩16分
","
築35年
2階建
","
											2階",4.5万円,2000円,-,-,ワンルーム,19.04m2
オークハウス,東京都調布市調布ケ丘２,"
京王線/調布駅 歩7分
京王線/布田駅 歩11分
京王線/国領駅 歩17分
","
築33年
2階建
","
											2階",3.8万円,2000円,-,-,ワンルーム,18.21m2
オークハウス,東京都調布市調布ケ丘２,"
京王線/調布駅 歩7分
京王線/布田駅 歩11分
京王線/国領駅 歩17分
","
築33年
2階建
","
											2階",3.8万円,2000円,-,-,ワンルーム,18.21m2
La Casa Verde,東京都調布市若葉町２,"
京王線/仙川駅 歩11分


","
築43年
2階建
","
											2階",7.1万円,3000円,-,-,1K,23.66m2
ラビアン西調布,東京都調布市上石原１,"
京王線/西調布駅 歩3分
京王線/飛田給駅 歩13分
京王線/調布駅 歩17分
","
築37年
2階建
","
											2階",3.9万円,3000円,-,-,ワンルーム,14.8m2
ラビアン西調布,東京都調布市上石原１,"
京王線/西調布駅 歩3分
京王線/飛田給駅 歩13分
京王線/調布駅 歩17分
","
築37年
2階建
","
											1階",3.9万円,3000円,-,-,ワンルーム,12.98m2
ラビアン西調布,東京都調布市上石原１,"
京王線/西調布駅 歩3分
京王線/飛田給駅 歩13分
京王線/調布駅 歩17分
","
築37年
2階建
","
											2階",4万円,3000円,-,-,ワンルーム,12.9m2
ラビアン西調布,東京都調布市上石原１,"
京王線/西調布駅 歩3分
京王線/飛田給駅 歩13分
京王線/調布駅 歩17分
","
築37年
2階建
","
											2階",4.1万円,3000円,-,-,ワンルーム,12.9m2
ラビアン西調布,東京都調布市上石原１,"
京王線/西調布駅 歩3分
京王線/飛田給駅 歩13分
京王線/調布駅 歩17分
","
築37年
2階建
","
											2階",4.2万円,3000円,-,-,ワンルーム,12.21m2
アンビックスつつじヶ丘　Ａ棟,東京都調布市若葉町３,"
京王線/仙川駅 歩16分
京王線/つつじヶ丘駅 歩15分

","
築32年
5階建
","
											2階",7.4万円,8000円,-,-,1K,26.52m2
アンビックスつつじヶ丘　Ａ棟,東京都調布市若葉町３,"
京王線/仙川駅 歩16分
京王線/つつじヶ丘駅 歩15分

","
築32年
5階建
","
											3階",7.5万円,8000円,-,-,1K,26.52m2
アンビックスつつじヶ丘　Ａ棟,東京都調布市若葉町３,"
京王線/仙川駅 歩16分
京王線/つつじヶ丘駅 歩15分

","
築32年
5階建
","
											1階",7.5万円,8000円,-,-,1K,24.3m2
アンビックスつつじヶ丘　Ａ棟,東京都調布市若葉町３,"
京王線/仙川駅 歩16分
京王線/つつじヶ丘駅 歩15分

","
築32年
5階建
","
											3階",7.5万円,8000円,-,-,1K,24.3m2
アンビックスつつじヶ丘　Ａ棟,東京都調布市若葉町３,"
京王線/仙川駅 歩16分
京王線/つつじヶ丘駅 歩15分

","
築32年
5階建
","
											4階",7.5万円,8000円,-,-,1K,24.3m2
アンビックスつつじヶ丘　Ａ棟,東京都調布市若葉町３,"
京王線/仙川駅 歩16分
京王線/つつじヶ丘駅 歩15分

","
築32年
5階建
","
											3階",7.6万円,8000円,-,-,1K,26.52m2
アンビックスつつじヶ丘　Ａ棟,東京都調布市若葉町３,"
京王線/仙川駅 歩16分
京王線/つつじヶ丘駅 歩15分

","
築32年
5階建
","
											5階",7.6万円,8000円,-,-,1K,24.3m2
